index,TITLE,RELEASE_YEAR,SCORE,MAIN_GENRE,MAIN_PRODUCTION,tags
0,White Christmas,1954,7.5,romance,US,White Christmas romance US
1,The Guns of Navarone,1961,7.5,war,US,The Guns of Navarone war US
2,My Fair Lady,1964,7.8,drama,US,My Fair Lady drama US
3,Bonnie and Clyde,1967,7.7,drama,US,Bonnie and Clyde drama US
4,Dirty Harry,1971,7.7,thriller,US,Dirty Harry thriller US
5,The Exorcist,1973,8.1,horror,US,The Exorcist horror US
6,Monty Python and the Holy Grail,1975,8.2,comedy,GB,Monty Python and the Holy Grail comedy GB
7,Taxi Driver,1976,8.3,crime,US,Taxi Driver crime US
8,Life of Brian,1979,8.0,comedy,GB,Life of Brian comedy GB
9,The Blue Lagoon,1980,5.8,romance,US,The Blue Lagoon romance US
10,Annie,1982,6.6,drama,US,Annie drama US
11,Christine,1983,6.7,horror,US,Christine horror US
12,Once Upon a Time in America,1984,8.3,drama,US,Once Upon a Time in America drama US
13,Stand by Me,1986,8.1,drama,US,Stand by Me drama US
14,Full Metal Jacket,1987,8.3,drama,GB,Full Metal Jacket drama GB
15,When Harry Met Sally...,1989,7.7,romance,US,When Harry Met Sally... romance US
16,Awakenings,1990,7.8,drama,US,Awakenings drama US
17,My Girl,1991,6.9,comedy,US,My Girl comedy US
18,A River Runs Through It,1992,7.2,drama,US,A River Runs Through It drama US
19,Menace II Society,1993,7.5,drama,US,Menace II Society drama US
20,Forrest Gump,1994,8.8,drama,US,Forrest Gump drama US
21,Desperado,1995,7.1,thriller,US,Desperado thriller US
22,Happy Gilmore,1996,7.0,comedy,US,Happy Gilmore comedy US
23,Neon Genesis Evangelion: The End of Evangelion,1997,8.0,scifi,JP,Neon Genesis Evangelion: The End of Evangelion scifi JP
24,Saving Private Ryan,1998,8.6,drama,US,Saving Private Ryan drama US
25,"Girl, Interrupted",1999,7.3,drama,US,"Girl, Interrupted drama US"
26,The Patriot,2000,7.2,drama,DE,The Patriot drama DE
27,Lagaan: Once Upon a Time in India,2001,8.1,drama,IN,Lagaan: Once Upon a Time in India drama IN
28,Road to Perdition,2002,7.7,thriller,US,Road to Perdition thriller US
29,Big Fish,2003,8.0,drama,US,Big Fish drama US
30,Swades,2004,8.1,drama,IN,Swades drama IN
31,Memoirs of a Geisha,2005,7.3,drama,FR,Memoirs of a Geisha drama FR
32,Rang De Basanti,2006,8.1,comedy,IN,Rang De Basanti comedy IN
33,Like Stars on Earth,2007,8.3,drama,IN,Like Stars on Earth drama IN
34,Ip Man,2008,8.0,drama,HK,Ip Man drama HK
35,3 Idiots,2009,8.4,comedy,IN,3 Idiots comedy IN
36,Inception,2010,8.8,scifi,GB,Inception scifi GB
37,Warrior,2011,8.2,drama,US,Warrior drama US
38,Django Unchained,2012,8.4,western,US,Django Unchained western US
39,Rush,2013,8.1,drama,US,Rush drama US
40,Queen,2014,8.2,drama,IN,Queen drama IN
41,Drishyam,2015,8.2,thriller,IN,Drishyam thriller IN
42,Dangal,2016,8.4,action,IN,Dangal action IN
43,Bāhubali 2: The Conclusion,2017,8.2,fantasy,IN,Bāhubali 2: The Conclusion fantasy IN
44,Andhadhun,2018,8.2,thriller,IN,Andhadhun thriller IN
45,Dave Chappelle: Sticks & Stones,2019,8.4,comedy,US,Dave Chappelle: Sticks & Stones comedy US
46,David Attenborough: A Life on Our Planet,2020,9.0,documentary,GB,David Attenborough: A Life on Our Planet documentary GB
47,Bo Burnham: Inside,2021,8.7,comedy,US,Bo Burnham: Inside comedy US
48,The Tinder Swindler,2022,7.2,crime,GB,The Tinder Swindler crime GB
49,bahubali 1,2017,8.5,fantasy,IN,bahubali 1 fantasy IN
